date,steps,distance_km,calories,sleep_hours,resting_hr,workout_type,mood
2024-01-01,8063,5.64,2301,6.5,66,joga,dobry
2024-01-02,11867,8.31,3065,5.4,50,joga,ok
2024-01-03,7294,5.11,2241,7.7,48,joga,ok
2024-01-04,8361,5.85,3158,8.4,66,rower,zmęczony
2024-01-05,4384,3.07,1865,7.6,68,joga,zmęczony
2024-01-06,15558,10.89,2577,6.4,49,pływanie,dobry
2024-01-07,13725,9.61,1628,9.0,72,pływanie,dobry
2024-01-08,2087,1.46,2985,4.5,71,rower,dobry
2024-01-09,12783,8.95,2239,5.1,60,pływanie,ok
2024-01-10,6972,4.88,1733,8.6,57,siłownia,zmęczony
2024-01-11,12570,8.8,2488,8.9,52,siłownia,zmęczony
2024-01-12,13271,9.29,3136,5.4,60,bieg,dobry
2024-01-13,8850,6.2,3089,9.4,54,brak,świetny
2024-01-14,7037,4.93,1852,6.3,68,bieg,zmęczony
2024-01-15,9881,6.92,3179,7.2,49,pływanie,świetny
2024-01-16,5042,3.53,2938,8.7,49,brak,świetny
2024-01-17,15156,10.61,2509,6.4,65,siłownia,zmęczony
2024-01-18,6517,4.56,2020,8.0,68,bieg,ok
2024-01-19,15291,10.7,2955,5.0,64,siłownia,dobry
2024-01-20,15224,10.66,1814,7.1,67,bieg,ok
2024-01-21,5235,3.66,1817,7.0,67,rower,ok
2024-01-22,8108,5.68,2333,8.0,57,rower,świetny
2024-01-23,17764,12.43,2025,7.9,63,siłownia,dobry
2024-01-24,1589,1.11,1626,7.9,51,pływanie,zmęczony
2024-01-25,6387,4.47,1784,8.4,50,brak,świetny
2024-01-26,9885,6.92,2919,5.7,57,siłownia,zmęczony
2024-01-27,3141,2.2,1804,8.6,49,siłownia,ok
2024-01-28,11746,8.22,2472,8.2,51,bieg,świetny
2024-01-29,6034,4.22,2958,7.7,58,siłownia,zmęczony
2024-01-30,10291,7.2,3101,5.0,58,rower,świetny
2024-01-31,14632,10.24,2419,9.3,56,joga,zmęczony
2024-02-01,15319,10.72,2928,8.9,53,bieg,dobry
2024-02-02,3421,2.39,1926,5.0,66,joga,zmęczony
2024-02-03,7439,5.21,2851,6.4,59,pływanie,świetny
2024-02-04,5781,4.05,2589,9.1,51,joga,zmęczony
2024-02-05,3006,2.1,1729,5.8,58,bieg,dobry
2024-02-06,12585,8.81,2663,7.1,70,pływanie,świetny
2024-02-07,15683,10.98,2955,8.1,63,siłownia,zmęczony
2024-02-08,6371,4.46,2743,9.0,67,bieg,świetny
2024-02-09,6642,4.65,2635,8.7,63,rower,świetny
2024-02-10,17610,12.33,2256,5.7,56,bieg,dobry
2024-02-11,13907,9.73,2425,8.6,50,joga,zmęczony
2024-02-12,16183,11.33,1780,8.8,62,siłownia,świetny
2024-02-13,17797,12.46,3126,7.8,51,joga,zmęczony
2024-02-14,2674,1.87,2741,7.2,50,pływanie,ok
2024-02-15,8278,5.79,2940,7.9,58,siłownia,świetny
2024-02-16,8804,6.16,2530,6.2,72,pływanie,zmęczony
2024-02-17,13404,9.38,3066,6.8,51,brak,dobry
2024-02-18,1571,1.1,2299,6.3,68,siłownia,ok
2024-02-19,4983,3.49,1693,9.0,63,rower,zmęczony
2024-02-20,5004,3.5,2120,7.6,54,bieg,zmęczony
2024-02-21,8564,5.99,2536,8.6,54,brak,ok
2024-02-22,5031,3.52,3150,6.6,68,brak,świetny
2024-02-23,16262,11.38,2536,7.8,64,rower,zmęczony
2024-02-24,1642,1.15,2686,8.2,65,joga,zmęczony
2024-02-25,7306,5.11,3016,7.4,71,rower,świetny
2024-02-26,14194,9.94,2946,7.5,58,pływanie,zmęczony
2024-02-27,15218,10.65,2847,9.1,72,rower,ok
2024-02-28,14537,10.18,2302,9.4,62,rower,dobry
2024-02-29,15024,10.52,2833,8.0,71,pływanie,ok
2024-03-01,11786,8.25,3057,8.2,65,brak,dobry
2024-03-02,8082,5.66,2029,7.6,57,brak,ok
2024-03-03,5847,4.09,3054,7.8,53,pływanie,ok
2024-03-04,5281,3.7,3158,6.3,63,pływanie,zmęczony
2024-03-05,10869,7.61,2465,8.5,64,bieg,świetny
2024-03-06,13980,9.79,1897,4.8,49,rower,ok
2024-03-07,6773,4.74,2186,7.9,52,bieg,ok
2024-03-08,8184,5.73,3143,7.2,59,joga,świetny
2024-03-09,8850,6.2,3120,7.7,60,rower,ok
2024-03-10,3039,2.13,2381,6.4,69,siłownia,świetny
2024-03-11,1924,1.35,3123,5.8,67,joga,dobry
2024-03-12,13550,9.48,3146,7.4,71,pływanie,dobry
2024-03-13,7840,5.49,2202,6.7,69,bieg,dobry
2024-03-14,7194,5.04,3105,7.1,60,bieg,zmęczony
2024-03-15,10645,7.45,2739,5.8,53,pływanie,ok
2024-03-16,1684,1.18,2276,6.8,52,bieg,dobry
2024-03-17,12071,8.45,2822,4.8,68,pływanie,ok
2024-03-18,17574,12.3,2772,7.3,50,brak,ok
2024-03-19,8707,6.09,1976,7.1,64,rower,zmęczony
2024-03-20,14719,10.3,1788,6.2,54,brak,ok
2024-03-21,12348,8.64,2338,6.0,72,pływanie,zmęczony
2024-03-22,1788,1.25,1834,7.8,62,rower,dobry
2024-03-23,2806,1.96,2997,8.9,60,bieg,zmęczony
2024-03-24,9907,6.93,2706,8.1,48,pływanie,ok
2024-03-25,16100,11.27,2596,4.7,68,rower,ok
2024-03-26,4198,2.94,1796,5.3,72,pływanie,świetny
2024-03-27,3645,2.55,2031,7.9,72,rower,zmęczony
2024-03-28,4905,3.43,2021,7.2,70,brak,zmęczony
2024-03-29,3863,2.7,3129,7.9,48,joga,ok
2024-03-30,2741,1.92,1779,4.9,53,siłownia,świetny
2024-03-31,8959,6.27,2129,6.5,62,brak,zmęczony
2024-04-01,15689,10.98,2247,4.6,69,bieg,świetny
2024-04-02,3572,2.5,3148,8.2,49,brak,świetny
2024-04-03,13221,9.25,2629,5.0,69,siłownia,świetny
2024-04-04,10724,7.51,3167,9.1,60,joga,świetny
2024-04-05,17031,11.92,1920,7.2,52,brak,zmęczony
2024-04-06,11165,7.82,2898,5.2,69,brak,ok
2024-04-07,1865,1.31,2733,8.9,52,bieg,świetny
2024-04-08,1664,1.16,2772,7.5,65,pływanie,świetny
2024-04-09,11484,8.04,2030,8.2,71,siłownia,dobry
2024-04-10,15021,10.51,2922,8.8,52,rower,dobry
2024-04-11,8734,6.11,2863,8.7,54,bieg,dobry
2024-04-12,3282,2.3,3138,9.2,65,joga,świetny
2024-04-13,11024,7.72,2975,4.8,51,rower,zmęczony
2024-04-14,12341,8.64,2331,5.1,68,rower,świetny
2024-04-15,10843,7.59,2868,4.8,54,siłownia,zmęczony
2024-04-16,16266,11.39,2272,7.6,57,brak,dobry
2024-04-17,13443,9.41,2247,9.3,53,bieg,ok
2024-04-18,9566,6.7,2053,8.1,68,joga,ok
2024-04-19,13279,9.3,1875,7.9,58,joga,zmęczony
2024-04-20,16093,11.27,2334,8.4,63,pływanie,świetny
2024-04-21,7259,5.08,2922,7.5,56,rower,dobry
2024-04-22,10125,7.09,3102,8.9,50,brak,świetny
2024-04-23,2110,1.48,2638,7.7,66,pływanie,zmęczony
2024-04-24,8471,5.93,1675,7.3,65,pływanie,zmęczony
2024-04-25,6370,4.46,2349,6.5,72,pływanie,ok
2024-04-26,5887,4.12,2551,7.0,50,joga,ok
2024-04-27,17955,12.57,1621,7.8,67,brak,dobry
2024-04-28,6099,4.27,2513,5.3,66,pływanie,dobry
2024-04-29,17343,12.14,2334,4.7,72,joga,dobry
2024-04-30,3559,2.49,2141,6.3,49,brak,dobry
2024-05-01,13337,9.34,2394,6.8,62,bieg,świetny
2024-05-02,12119,8.48,1811,8.0,64,brak,ok
2024-05-03,10128,7.09,2785,7.2,53,joga,zmęczony
2024-05-04,13470,9.43,2803,7.8,50,pływanie,ok
2024-05-05,13831,9.68,2056,7.1,59,siłownia,zmęczony
2024-05-06,17297,12.11,2837,4.5,52,joga,dobry
2024-05-07,9036,6.33,1757,7.1,56,rower,dobry
2024-05-08,7624,5.34,1922,6.3,70,bieg,dobry
2024-05-09,15086,10.56,2276,8.1,63,brak,zmęczony
2024-05-10,17196,12.04,2031,7.5,68,joga,świetny
2024-05-11,9484,6.64,1688,5.1,66,rower,dobry
2024-05-12,2784,1.95,2772,5.2,53,siłownia,dobry
2024-05-13,14785,10.35,2827,9.3,68,bieg,ok
2024-05-14,4309,3.02,2043,6.7,63,joga,dobry
2024-05-15,8688,6.08,2441,7.5,66,rower,ok
2024-05-16,6995,4.9,3083,7.9,62,pływanie,świetny
2024-05-17,9030,6.32,2374,6.4,51,bieg,dobry
2024-05-18,15255,10.68,1906,7.5,53,joga,świetny
2024-05-19,17993,12.6,3140,5.1,63,brak,dobry
2024-05-20,1539,1.08,3186,7.9,61,pływanie,zmęczony
2024-05-21,13636,9.55,1688,8.0,61,rower,zmęczony
2024-05-22,13992,9.79,2317,7.4,71,brak,świetny
2024-05-23,15442,10.81,1874,5.8,72,rower,świetny
2024-05-24,10782,7.55,2825,8.9,61,siłownia,dobry
2024-05-25,1679,1.18,3052,8.2,48,pływanie,świetny
2024-05-26,1735,1.21,2368,7.8,70,siłownia,zmęczony
2024-05-27,13370,9.36,1818,5.3,68,pływanie,ok
2024-05-28,10062,7.04,2697,6.6,59,pływanie,ok
2024-05-29,14523,10.17,3146,5.5,65,pływanie,zmęczony
2024-05-30,7356,5.15,2358,7.3,63,siłownia,ok
2024-05-31,12783,8.95,3185,8.0,71,rower,świetny
2024-06-01,9029,6.32,2514,8.4,53,bieg,dobry
2024-06-02,14625,10.24,2293,8.5,67,brak,świetny
2024-06-03,6767,4.74,2396,9.3,48,bieg,dobry
2024-06-04,16955,11.87,2829,6.7,50,siłownia,dobry
2024-06-05,13651,9.56,1763,7.5,71,joga,zmęczony
2024-06-06,10887,7.62,3057,9.3,49,rower,zmęczony
2024-06-07,15884,11.12,1621,5.5,69,pływanie,ok
2024-06-08,7881,5.52,1668,8.4,64,pływanie,dobry
2024-06-09,7053,4.94,2980,4.7,55,brak,świetny
2024-06-10,6659,4.66,1777,9.5,72,joga,ok
2024-06-11,14448,10.11,2430,7.4,64,bieg,świetny
2024-06-12,4454,3.12,2725,5.9,65,pływanie,ok
2024-06-13,12886,9.02,2166,5.6,54,joga,zmęczony
2024-06-14,1652,1.16,2134,5.4,64,bieg,świetny
2024-06-15,17987,12.59,2202,6.2,51,pływanie,ok
2024-06-16,9696,6.79,3021,6.7,60,pływanie,zmęczony
2024-06-17,9471,6.63,3151,6.2,72,joga,zmęczony
2024-06-18,2396,1.68,2587,5.1,50,joga,dobry
2024-06-19,9034,6.32,2246,6.6,59,pływanie,świetny
2024-06-20,10129,7.09,2108,5.9,60,brak,ok
2024-06-21,3991,2.79,2735,9.2,63,siłownia,ok
2024-06-22,8661,6.06,2774,5.8,71,brak,dobry
2024-06-23,17851,12.5,3109,5.5,71,rower,ok
2024-06-24,8275,5.79,2069,5.5,55,pływanie,ok
2024-06-25,6611,4.63,3195,5.0,50,brak,zmęczony
2024-06-26,1717,1.2,3165,8.8,49,joga,ok
2024-06-27,11835,8.28,2608,9.0,66,siłownia,zmęczony
2024-06-28,7492,5.24,3165,9.1,56,joga,dobry
2024-06-29,5702,3.99,1710,7.1,61,joga,świetny
2024-06-30,17965,12.58,2311,6.5,69,rower,zmęczony
2024-07-01,5444,3.81,3030,7.1,58,brak,świetny
2024-07-02,1887,1.32,2980,5.6,66,bieg,ok
2024-07-03,13348,9.34,2854,8.8,53,pływanie,ok
2024-07-04,9270,6.49,2151,6.9,67,siłownia,ok
2024-07-05,7526,5.27,2621,6.6,61,brak,ok
2024-07-06,13462,9.42,2420,5.9,53,pływanie,dobry
2024-07-07,8989,6.29,1804,8.1,55,pływanie,zmęczony
2024-07-08,13980,9.79,2001,5.2,71,rower,zmęczony
2024-07-09,1819,1.27,1961,6.6,52,brak,ok
2024-07-10,17445,12.21,2214,5.8,66,bieg,zmęczony
2024-07-11,4743,3.32,3014,5.3,54,siłownia,zmęczony
2024-07-12,4655,3.26,2521,8.2,56,siłownia,ok
2024-07-13,9944,6.96,2304,4.6,51,siłownia,dobry
2024-07-14,7219,5.05,3198,5.9,58,brak,zmęczony
2024-07-15,16145,11.3,1760,6.4,57,joga,dobry
2024-07-16,6991,4.89,2911,8.5,58,joga,zmęczony
2024-07-17,3837,2.69,1762,5.3,55,siłownia,ok
2024-07-18,11047,7.73,3054,5.8,68,joga,ok
2024-07-19,16078,11.25,3199,8.8,59,brak,zmęczony
2024-07-20,15065,10.55,1942,5.4,48,rower,dobry
2024-07-21,9745,6.82,3123,8.0,50,rower,dobry
2024-07-22,14510,10.16,1810,5.0,63,pływanie,świetny
2024-07-23,2363,1.65,3178,6.5,72,bieg,świetny
2024-07-24,10100,7.07,2865,5.3,68,joga,ok
2024-07-25,9015,6.31,2106,8.2,62,brak,dobry
2024-07-26,5801,4.06,2678,8.7,48,bieg,ok
2024-07-27,12156,8.51,2575,6.8,65,siłownia,zmęczony
2024-07-28,5927,4.15,3028,7.2,66,pływanie,zmęczony
2024-07-29,15753,11.03,2672,7.7,65,siłownia,ok
2024-07-30,17282,12.1,2705,5.6,50,joga,ok
2024-07-31,13485,9.44,2444,5.8,57,bieg,świetny
2024-08-01,5966,4.18,2304,5.9,65,bieg,zmęczony
2024-08-02,17132,11.99,2213,4.5,61,siłownia,dobry
2024-08-03,1736,1.22,2722,6.4,61,pływanie,zmęczony
2024-08-04,14435,10.1,2111,5.3,71,brak,zmęczony
2024-08-05,13898,9.73,2051,5.8,61,brak,dobry
2024-08-06,10408,7.29,2183,7.7,65,siłownia,zmęczony
2024-08-07,7660,5.36,1740,5.4,57,bieg,zmęczony
2024-08-08,16336,11.44,2157,8.0,63,rower,ok
2024-08-09,2135,1.49,1911,4.7,65,bieg,dobry
2024-08-10,4851,3.4,2177,5.8,70,joga,świetny
2024-08-11,9128,6.39,1784,5.3,63,rower,ok
2024-08-12,15270,10.69,2238,8.4,63,siłownia,zmęczony
2024-08-13,2539,1.78,2276,4.9,72,rower,świetny
2024-08-14,10232,7.16,3188,6.5,65,joga,dobry
2024-08-15,7797,5.46,2112,8.6,48,bieg,dobry
2024-08-16,14109,9.88,3179,9.4,55,brak,świetny
2024-08-17,8026,5.62,2543,8.2,51,pływanie,dobry
2024-08-18,16993,11.9,2396,7.9,57,siłownia,dobry
2024-08-19,2882,2.02,3125,9.2,64,bieg,ok
2024-08-20,17268,12.09,2907,6.0,59,bieg,dobry
2024-08-21,5200,3.64,2083,7.7,58,bieg,dobry
2024-08-22,10547,7.38,2797,5.1,55,bieg,świetny
2024-08-23,17073,11.95,3009,7.5,59,bieg,dobry
2024-08-24,6667,4.67,2623,5.0,67,siłownia,świetny
2024-08-25,3458,2.42,2328,7.7,70,pływanie,świetny
2024-08-26,5623,3.94,2599,5.7,65,brak,ok
2024-08-27,15875,11.11,3101,5.5,70,joga,ok
2024-08-28,5914,4.14,2113,9.0,63,brak,zmęczony
2024-08-29,11157,7.81,2711,8.0,54,pływanie,dobry
2024-08-30,12892,9.02,2262,8.2,56,pływanie,dobry
2024-08-31,3756,2.63,2687,5.3,57,siłownia,ok
2024-09-01,16379,11.47,1601,8.4,64,joga,dobry
2024-09-02,2113,1.48,2869,8.8,72,pływanie,dobry
2024-09-03,12008,8.41,3076,4.8,65,joga,dobry
2024-09-04,17803,12.46,3168,7.3,67,siłownia,ok
2024-09-05,14928,10.45,2912,6.1,51,pływanie,świetny
2024-09-06,2934,2.05,1865,5.4,49,rower,świetny
2024-09-07,17404,12.18,1992,5.0,66,brak,zmęczony
2024-09-08,17553,12.29,2676,7.6,66,siłownia,świetny
2024-09-09,13504,9.45,2052,7.5,50,bieg,dobry
2024-09-10,17602,12.32,1763,6.8,68,bieg,ok
2024-09-11,15129,10.59,2355,8.5,49,pływanie,ok
2024-09-12,2832,1.98,3103,4.9,57,bieg,dobry
2024-09-13,4682,3.28,1807,8.1,65,joga,dobry
2024-09-14,7828,5.48,2677,7.8,66,brak,dobry
2024-09-15,15104,10.57,3128,5.0,68,pływanie,ok
2024-09-16,16531,11.57,3038,7.8,51,rower,dobry
2024-09-17,14658,10.26,2633,6.2,53,pływanie,zmęczony
2024-09-18,13044,9.13,2245,7.3,58,siłownia,zmęczony
2024-09-19,15609,10.93,3086,6.1,55,pływanie,dobry
2024-09-20,13790,9.65,3168,7.3,71,siłownia,ok
2024-09-21,16324,11.43,2516,9.3,48,brak,świetny
2024-09-22,10821,7.57,2820,4.6,52,siłownia,świetny
2024-09-23,11341,7.94,2054,5.6,58,bieg,ok
2024-09-24,6569,4.6,1793,4.7,59,rower,dobry
2024-09-25,10183,7.13,2351,8.9,55,rower,ok
2024-09-26,11340,7.94,1788,7.4,66,rower,świetny
2024-09-27,12139,8.5,2588,5.4,70,brak,świetny
2024-09-28,11343,7.94,1676,8.2,66,joga,świetny
2024-09-29,3332,2.33,3178,6.2,61,joga,świetny
2024-09-30,8929,6.25,3131,7.8,67,bieg,zmęczony
2024-10-01,3273,2.29,2224,7.1,58,pływanie,dobry
2024-10-02,12209,8.55,2628,8.0,52,bieg,zmęczony
2024-10-03,16101,11.27,3141,7.5,64,bieg,dobry
2024-10-04,15653,10.96,2193,8.4,52,rower,ok
2024-10-05,4204,2.94,2574,7.4,49,pływanie,zmęczony
2024-10-06,10103,7.07,1774,6.5,61,brak,dobry
2024-10-07,5919,4.14,2584,7.3,63,joga,dobry
2024-10-08,9568,6.7,2096,4.9,72,joga,ok
2024-10-09,4435,3.1,1830,7.9,61,siłownia,ok
2024-10-10,7741,5.42,2256,6.2,68,bieg,ok
2024-10-11,7046,4.93,2316,7.6,62,pływanie,dobry
2024-10-12,15933,11.15,1691,9.1,55,rower,ok
2024-10-13,6611,4.63,3151,8.1,50,bieg,świetny
2024-10-14,9464,6.62,2871,9.1,57,bieg,ok
2024-10-15,5146,3.6,2224,6.8,48,siłownia,dobry
2024-10-16,8442,5.91,2017,7.2,72,siłownia,zmęczony
2024-10-17,6131,4.29,3023,8.0,48,joga,świetny
2024-10-18,9870,6.91,1948,4.8,54,brak,ok
2024-10-19,3239,2.27,2552,7.8,48,bieg,zmęczony
