data;kategoria;opis;kwota;sposob_platnosci;miasto
17.07.2024;inne;zakupy;533,79;BLIK;Gdańsk
23.06.2024;rachunki;kawa;195,62;karta;Warszawa
23.09.2024;ubrania;apteka;621,76;BLIK;Kraków
20.10.2024;transport;prąd;357,65;gotówka;Poznań
04.10.2024;transport;paliwo;283,25;BLIK;Kraków
16.12.2024;inne;paliwo;495,97;karta;Gdańsk
25.09.2024;transport;prąd;586,81;karta;Poznań
11.06.2024;jedzenie;apteka;779,96;BLIK;Warszawa
15.03.2024;ubrania;zakupy;160,59;gotówka;Łódź
04.06.2024;rachunki;kawa;817,21;BLIK;Gdańsk
06.04.2024;jedzenie;paliwo;133,40;karta;Warszawa
09.11.2024;zdrowie;kino;649,27;BLIK;Poznań
01.11.2024;transport;paliwo;522,45;BLIK;Warszawa
18.12.2024;inne;prąd;308,58;karta;Poznań
28.08.2024;ubrania;kawa;719,99;gotówka;Kraków
08.09.2024;rachunki;paliwo;725,05;karta;Kraków
28.07.2024;inne;zakupy;196,20;gotówka;Łódź
09.12.2024;transport;obiad;193,06;karta;Warszawa
12.08.2024;inne;apteka;154,63;gotówka;Gdańsk
06.05.2024;rachunki;prąd;737,42;karta;Poznań
13.07.2024;ubrania;kino;626,36;gotówka;Poznań
19.10.2024;zdrowie;apteka;798,57;BLIK;Warszawa
19.08.2024;rachunki;obiad;444,95;karta;Kraków
21.07.2024;ubrania;zakupy;443,30;BLIK;Łódź
18.11.2024;jedzenie;paliwo;441,13;gotówka;Łódź
04.06.2024;inne;obiad;341,34;gotówka;Łódź
30.05.2024;zdrowie;zakupy;145,68;BLIK;Poznań
25.08.2024;inne;kawa;768,61;gotówka;Warszawa
27.02.2024;transport;obiad;615,64;BLIK;Poznań
30.07.2024;rozrywka;prąd;119,33;karta;Kraków
30.12.2024;transport;prąd;388,36;karta;Gdańsk
28.11.2024;ubrania;obiad;278,84;karta;Warszawa
27.12.2024;rachunki;kawa;82,06;gotówka;Warszawa
15.07.2024;ubrania;obiad;447,63;BLIK;Poznań
12.07.2024;zdrowie;prąd;807,54;karta;Kraków
16.10.2024;inne;kawa;775,85;karta;Kraków
01.04.2024;inne;kawa;739,15;karta;Łódź
16.08.2024;rozrywka;kawa;265,31;karta;Warszawa
13.04.2024;jedzenie;apteka;764,27;gotówka;Warszawa
12.09.2024;zdrowie;obiad;392,55;karta;Poznań
01.05.2024;transport;apteka;750,88;BLIK;Łódź
14.08.2024;jedzenie;apteka;388,41;BLIK;Warszawa
07.10.2024;rozrywka;apteka;211,78;BLIK;Poznań
16.04.2024;jedzenie;paliwo;698,00;karta;Warszawa
19.01.2024;transport;obiad;557,02;karta;Poznań
01.06.2024;rozrywka;zakupy;713,12;karta;Warszawa
01.04.2024;transport;kawa;357,33;gotówka;Poznań
